Quant	Bootrep	MeanSynD	MeanNonsynD
0	1	0.0028237719520801	0.00411258625207442
1	1	0.00214194673317741	0.00175241792609144
2	1	0.0094410363815106	0.00249139998790623
3	1	0.00385216597745323	0.00040956437803324
4	1	0.00713467826944269	0.00229550615774303
0	2	0.0028237719520801	0.0015534731667145
1	2	0.0019593582240975	0.00134163591670798
2	2	0.0100628081849149	0.00182753684931043
3	2	0.00488433327865465	0.00136980756653579
4	2	0.00713467826944269	0.00410758824157374
0	3	0.0026012530379724	0.000597166260960707
1	3	0.00211909056598028	0.00078149780950761
2	3	0.00880803015590025	0.00161635791931014
3	3	0.00286078478469735	0.000709814539843363
4	3	0.00713467826944269	0.00135451240282994
0	4	0.00277657983229976	0.00179418872099456
1	4	0.0019593582240975	0.00172568372269862
2	4	0.0128976485781665	0.00412153899903922
3	4	0.00488353440176903	0.000594318091194598
4	4	0.00713467826944269	0.00457281567531371
0	5	0.00292673567309909	0.00272359441282491
1	5	0.00151998189599727	0.00116388701770927
2	5	0.012451871378272	0.00163852161431253
3	5	0.00505366189186829	0.00191466963329365
4	5	0.00716752341774444	0.00183717213588818
0	6	0.00333919720062888	7.24226278859872e-05
1	6	0.00263501347111269	0.00242951993802881
2	6	0.00873334747472227	3.94579776369039e-05
3	6	0.00629486006997786	0.00137106895109203
4	6	0.00720560321595879	0.00698181348665348
0	7	0.00339254693346754	0.000730173473452789
1	7	0.00134190112026604	0.000998420914720201
2	7	0.0126100393419104	0.00381362233925777
3	7	0.00392035517001165	0.00220175742790455
4	7	0.00687718072366697	0.0058979266589956
0	8	0.00333919720062888	7.21366806832787e-05
1	8	0.00257499625080546	0.00285669920572532
2	8	0.00873334747472227	0.00180778831522863
3	8	0.00629486006997786	0.0029740049537994
4	8	0.00720560321595879	0.00715262039280225
0	9	0.00292673567309909	0.000627329169942062
1	9	0.00260971014311917	0.00229507518468632
2	9	0.00873334747472227	0.00237148770990459
3	9	0.00629486006997786	0.00436579389981434
4	9	0.00720560321595879	0.00357715618054949
0	10	0.00443001404220725	0.000615204669479393
1	10	0.00209486338624255	0.00156603873393211
2	10	0.00482000266628664	0.00153397676652983
3	10	0.00309451079168958	0.00265218489517555
4	10	0.00713467826944269	0.00386654868914569
